'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
29.302135,79.3108886,3.28469744,0,0
29.2786443,79.6704238,3.28555805,0,0
29.2551724,78.9530043,3.26968844,0,0
29.2317193,78.993526,3.26807098,0,0
29.2082852,79.3467352,3.2737246,0,0
29.1848699,79.7149793,3.27636434,0,0
29.1614734,79.0317384,3.25895518,0,0
29.1380958,79.3458226,3.25797947,0,0
29.1147369,79.5181663,3.2562174,0,0
29.0913968,78.0487818,3.22742643,0,0
29.0680755,79.4538275,3.24843694,0,0
29.0447729,79.7757986,3.25171964,0,0
29.0214891,78.8022119,3.23299103,0,0
28.998224,78.3474496,3.22059231,0,0
28.9749776,79.2090377,3.22838134,0,0
28.9517499,79.6288727,3.23109555,0,0
28.9285408,80.0865385,3.23844691,0,0
28.9053505,78.6030395,3.20980109,0,0
28.8821788,79.1755162,3.21406214,0,0
28.8590256,78.1104882,3.19265218,0,0
28.8358912,80.0913499,3.22211177,0,0
28.8127753,80.2440864,3.22074393,0,0
28.789678,78.9225826,3.19631103,0,0
28.7665992,78.4080856,3.18585578,0,0
28.7435391,81.6215596,3.23493946,0,0
28.7204975,78.2995377,3.1785071,0,0
28.6974743,80.1976085,3.20664131,0,0
28.6744698,80.3657959,3.2072023,0,0
28.6514837,79.5943155,3.19328206,0,0
28.6285161,78.7913979,3.1774583,0,0
28.6055669,78.8402535,3.17484772,0,0
28.5826362,79.0758549,3.17475284,0,0
28.5597239,79.7627341,3.18211903,0,0
28.5368301,79.4746155,3.17389804,0,0
28.5139547,78.2631264,3.15073485,0,0
28.4910976,78.7430521,3.15394026,0,0
28.468259,79.5486247,3.16280041,0,0
28.4454386,79.6159112,3.1624886,0,0
28.4226367,78.8749004,3.14826865,0,0
28.3998531,79.4312069,3.15318202,0,0
28.3770877,80.2250675,3.16180559,0,0
28.3543407,79.2075749,3.14598492,0,0
28.331612,79.1205977,3.14217441,0,0
28.3089016,80.2228584,3.15336887,0,0
28.2862094,78.6224787,3.12308492,0,0
28.2635354,78.6865742,3.12397103,0,0
28.2408797,78.6375384,3.12061332,0,0
28.2182422,79.7357182,3.13364214,0,0
28.1956229,79.8153857,3.13143905,0,0
28.1730217,79.1724001,3.11904876,0,0
28.1504388,79.4081529,3.12358456,0,0
28.127874,79.8108104,3.1246526,0,0
28.1053273,79.8127031,3.11763485,0,0
28.0827988,78.2081768,3.08928008,0,0
28.0602884,78.1929451,3.0867625,0,0
28.037796,79.4726809,3.10510205,0,0
28.0153218,79.647845,3.1029415,0,0
27.9928656,79.9426054,3.09955366,0,0
27.9704275,80.2240728,3.1009166,0,0
27.9480074,79.9171291,3.09598018,0,0
