'y-axis saved as y
'Q,BL21Robot0305_FY25c1-2025-01-14-1420_scan2.xye,SigmaYobs,Ycalc,Diff
13.0069794,6.48424014,2.54641712,0,0
13.0074721,6.49712218,2.54894531,0,0
13.0079648,6.4864093,2.54684301,0,0
13.0084575,6.42782181,2.53531493,0,0
13.0089501,6.51137144,2.55173891,0,0
13.0094428,6.35357409,2.5206297,0,0
13.0099354,6.45866591,2.54139055,0,0
13.010428,6.52834225,2.55506208,0,0
13.0109205,6.45935471,2.54152606,0,0
13.0114131,6.4900781,2.54756317,0,0
13.0119056,6.46128928,2.54190662,0,0
13.0123981,6.4170283,2.53318541,0,0
13.0128905,6.43291816,2.53631981,0,0
13.0133829,6.45629852,2.54092474,0,0
13.0138754,6.35531659,2.52097532,0,0
13.0143677,6.45785661,2.54123132,0,0
13.0148601,6.5217091,2.55376371,0,0
13.0153524,6.46808516,2.54324304,0,0
13.0158447,6.40596753,2.53100129,0,0
13.016337,6.36669085,2.52323024,0,0
13.0168293,6.49585307,2.54869635,0,0
13.0173215,6.53013175,2.55541225,0,0
13.0178137,6.4211041,2.53398976,0,0
13.0183059,6.53015494,2.55541678,0,0
13.0187981,6.4630109,2.54224525,0,0
13.0192902,6.37519918,2.52491568,0,0
13.0197823,6.47544042,2.54468867,0,0
13.0202744,6.32434307,2.51482466,0,0
13.0207665,6.38591764,2.52703732,0,0
13.0212585,6.46086119,2.54182241,0,0
13.0217505,6.32230201,2.51441882,0,0
13.0222425,6.37967066,2.52580099,0,0
13.0227345,6.30558769,2.51109293,0,0
13.0232264,6.42821303,2.53539209,0,0
13.0237183,6.45237113,2.54015179,0,0
13.0242102,6.48504763,2.54657567,0,0
13.0247021,6.43877432,2.537474,0,0
13.0251939,6.4743678,2.5444779,0,0
13.0256857,6.47022933,2.54366455,0,0
13.0261775,6.45558814,2.54078495,0,0
13.0266693,6.36247269,2.52239424,0,0
13.027161,6.5054027,2.55056909,0,0
13.0276527,6.39450135,2.52873513,0,0
13.0281444,6.5403535,2.55741148,0,0
13.0286361,6.47922198,2.54543159,0,0
13.0291277,6.41751032,2.53328055,0,0
13.0296194,6.47113851,2.54384326,0,0
13.030111,6.407673,2.53133818,0,0
13.0306025,6.32889285,2.51572909,0,0
13.0310941,6.38308061,2.52647593,0,0
13.0315856,6.4579793,2.54125546,0,0
13.0320771,6.51353557,2.55216292,0,0
13.0325685,6.52885712,2.55516284,0,0
13.03306,6.4093691,2.53167318,0,0
13.0335514,6.56145659,2.56153403,0,0
13.0340428,6.45449127,2.54056908,0,0
13.0345342,6.43150812,2.53604182,0,0
13.0350255,6.67952791,2.58447827,0,0
13.0355168,6.34578884,2.51908492,0,0
13.0360081,6.60812232,2.57062683,0,0
13.0364994,6.51558288,2.55256398,0,0
13.0369906,6.42046721,2.53386409,0,0
13.0374818,6.42625714,2.53500634,0,0
13.037973,6.45907399,2.54147083,0,0
13.0384642,6.52889194,2.55516965,0,0
13.0389554,6.59939362,2.5689285,0,0
13.0394465,6.52793094,2.55498159,0,0
13.0399376,6.37617882,2.52510966,0,0
13.0404286,6.4525946,2.54019578,0,0
13.0409197,6.43303331,2.53634251,0,0
13.0414107,6.44751032,2.53919482,0,0
13.0419017,6.47636069,2.54486948,0,0
13.0423927,6.56369649,2.56197121,0,0
13.0428836,6.41941173,2.5336558,0,0
13.0433745,6.43375314,2.53648441,0,0
13.0438654,6.40999311,2.53179642,0,0
13.0443563,6.49084854,2.54771438,0,0
13.0448471,6.47579267,2.54475788,0,0
13.045338,6.41587121,2.53295701,0,0
13.0458288,6.60266028,2.56956422,0,0
13.0463195,6.45084232,2.53985085,0,0
13.0468103,6.35987323,2.52187891,0,0
13.047301,6.40639395,2.53108553,0,0
13.0477917,6.39875399,2.52957585,0,0
13.0482824,6.55118482,2.55952824,0,0
13.048773,6.42837964,2.53542494,0,0
13.0492636,6.52394983,2.55420239,0,0
13.0497542,6.43373352,2.53648054,0,0
13.0502448,6.52802454,2.55499991,0,0
13.0507354,6.49796556,2.54911074,0,0
13.0512259,6.49946,2.54940385,0,0
13.0517164,6.46055249,2.54176169,0,0
13.0522069,6.23041969,2.49608087,0,0
13.0526973,6.52000552,2.55343015,0,0
13.0531877,6.51238011,2.55193654,0,0
13.0536781,6.40855323,2.53151204,0,0
13.0541685,6.51791002,2.55301978,0,0
13.0546589,6.56433681,2.56209618,0,0
13.0551492,6.59196536,2.5674823,0,0
13.0556395,6.39087372,2.52801774,0,0
13.0561298,6.41492353,2.53276993,0,0
13.05662,6.44381544,2.53846714,0,0
13.0571102,6.48928851,2.54740819,0,0
13.0576004,6.28027273,2.50604723,0,0
13.0580906,6.58162995,2.56546876,0,0
13.0585808,6.46021782,2.54169586,0,0
13.0590709,6.53890488,2.55712825,0,0
13.059561,6.3846506,2.52678662,0,0
13.0600511,6.40265347,2.53034651,0,0
13.0605411,6.53108857,2.55559945,0,0
13.0610311,6.55025882,2.55934734,0,0
13.0615211,6.40649674,2.53110583,0,0
13.0620111,6.40432048,2.53067589,0,0
13.0625011,6.40338875,2.5304918,0,0
13.062991,6.40164245,2.53014673,0,0
13.0634809,6.5483498,2.55897436,0,0
13.0639708,6.46845752,2.54331624,0,0
13.0644606,6.48804871,2.54716484,0,0
13.0649505,6.55322546,2.55992685,0,0
13.0654403,6.4871876,2.5469958,0,0
13.06593,6.55870478,2.56099683,0,0
13.0664198,6.39293562,2.52842552,0,0
13.0669095,6.42574106,2.53490455,0,0
13.0673992,6.46783133,2.54319314,0,0
